ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13705239,JH558684,12/29/2024 02:08:00 AM,043XX W IRVING PARK RD,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,1722,017,45,16,05,1146606,1926228,2024,05/17/2025 03:40:52 PM,41.95354767,-87.736460137,POINT (-87.736460137 41.95354767)
13706017,JH558675,12/29/2024 01:50:00 AM,019XX N HOWE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,false,false,1813,018,43,7,05,1171633,1913099,2024,05/17/2025 03:40:52 PM,41.917005999,-87.644846368,POINT (-87.644846368 41.917005999)
13705221,JH558648,12/29/2024 01:37:00 AM,003XX W 26TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,0914,009,11,34,05,1174580,1887058,2024,05/17/2025 03:40:52 PM,41.845482484,-87.634797936,POINT (-87.634797936 41.845482484)
13705646,JH559179,12/29/2024 01:02:00 AM,053XX S NATCHEZ AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,0811,008,23,56,06,1133951,1868461,2024,05/17/2025 03:40:52 PM,41.795259251,-87.784340121,POINT (-87.784340121 41.795259251)
13705219,JH558620,12/29/2024 12:15:00 AM,016XX N LAWNDALE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,2535,025,26,23,05,1151458,1910802,2024,05/17/2025 03:40:52 PM,41.911123338,-87.719029904,POINT (-87.719029904 41.911123338)
13710445,JJ103080,12/29/2024 12:00:00 AM,050XX S MICHIGAN AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,false,false,0224,002,3,38,05,1178010,1871677,2024,05/17/2025 03:40:52 PM,41.803198529,-87.622677221,POINT (-87.622677221 41.803198529)
13801382,JJ212798,12/29/2024 12:00:00 AM,041XX W WILCOX ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1115,011,28,26,05,1148821,1899014,2024,05/17/2025 03:40:52 PM,41.878827237,-87.729022437,POINT (-87.729022437 41.878827237)
13706784,JH560099,12/29/2024 12:00:00 AM,087XX S COLFAX AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0423,004,7,46,05,1195009,1847471,2024,05/17/2025 03:40:52 PM,41.736373003,-87.561132045,POINT (-87.561132045 41.736373003)
13705499,JH558834,12/28/2024 11:00:00 PM,052XX S NEWCASTLE AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,0811,008,23,56,06,1131603,1869163,2024,05/17/2025 03:40:52 PM,41.797226494,-87.792934304,POINT (-87.792934304 41.797226494)
13706143,JH559009,12/28/2024 10:00:00 PM,014XX N KEYSTONE AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,2534,025,36,23,06,1149112,1909539,2024,05/17/2025 03:40:52 PM,41.907703325,-87.727681139,POINT (-87.727681139 41.907703325)
13705074,JH558522,12/28/2024 09:49:00 PM,014XX S DRAKE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,true,1021,010,24,29,05,1152938,1892851,2024,05/17/2025 03:40:52 PM,41.861834746,-87.714068754,POINT (-87.714068754 41.861834746)
13705301,JH558768,12/28/2024 09:00:00 PM,014XX S INDIANA AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0132,001,3,33,06,1177890,1893527,2024,05/17/2025 03:40:52 PM,41.86315933,-87.622454163,POINT (-87.622454163 41.86315933)
13705635,JH558455,12/28/2024 07:00:00 PM,015XX S KOMENSKY AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1012,010,24,29,05,1149637,1892104,2024,05/17/2025 03:40:52 PM,41.859849586,-87.726205667,POINT (-87.726205667 41.859849586)
13705681,JH558468,12/28/2024 06:00:00 PM,027XX W BERWYN AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,2011,020,40,4,05,1157084,1935088,2024,05/17/2025 03:40:52 PM,41.977653294,-87.697700212,POINT (-87.697700212 41.977653294)
13705132,JH558519,12/28/2024 01:00:00 PM,031XX W IRVING PARK RD,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,ALLEY,false,false,1733,017,33,16,06,1154872,1926427,2024,05/17/2025 03:40:52 PM,41.953931744,-87.706068009,POINT (-87.706068009 41.953931744)
13704751,JH558118,12/28/2024 11:00:00 AM,054XX S JUSTINE ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0934,009,16,61,05,1166927,1868745,2024,05/17/2025 03:40:52 PM,41.795397046,-87.663407531,POINT (-87.663407531 41.795397046)
13705611,JH558360,12/28/2024 09:00:00 AM,079XX S ESSEX AVE,0610,BURGLARY,FORCIBLE ENTRY,ABANDONED BUILDING,false,false,0422,004,7,46,05,1194235,1852791,2024,05/17/2025 03:40:52 PM,41.750990548,-87.563793363,POINT (-87.563793363 41.750990548)
