USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
IL	17031031502	161705	0	0.062	0.	41.9636326	-87.6523656                                                                                                                                                 
IL	17031031700	477478	0	0.184	0.	41.9654466	-87.6631954                                                                                                                                                 
IL	17031031800	235150	0	0.091	0.	41.9670114	-87.6706209                                                                                                                                                 
IL	17031031900	257670	0	0.099	0.	41.963374	-87.6701841                                                                                                                                                  
IL	17031032100	431028	0	0.166	0.	41.9581538	-87.6530179                                                                                                                                                 
IL	17031040100	1972508	29163	0.762	0.011	41.9856223	-87.6828856                                                                                                                                         
IL	17031040201	721413	0	0.279	0.	41.9725804	-87.6940005                                                                                                                                                 
IL	17031040202	588657	0	0.227	0.	41.9798549	-87.694096                                                                                                                                                  
IL	17031040300	752564	14886	0.291	0.006	41.9769437	-87.7019832                                                                                                                                          
IL	17031040401	385796	0	0.149	0.	41.9720667	-87.6860816                                                                                                                                                 
IL	17031040402	602581	0	0.233	0.	41.972545	-87.6788181                                                                                                                                                  
IL	17031040600	331259	0	0.128	0.	41.9668338	-87.684018                                                                                                                                                  
IL	17031040700	342084	15337	0.132	0.006	41.9674314	-87.6940682                                                                                                                                          
IL	17031040800	217717	11487	0.084	0.004	41.963974	-87.6918213                                                                                                                                           
IL	17031040900	321853	0	0.124	0.	41.9631847	-87.6838544                                                                                                                                                 
IL	17031050100	334634	0	0.129	0.	41.9578451	-87.676373                                                                                                                                                  
IL	17031050200	652253	0	0.252	0.	41.9577405	-87.6837168                                                                                                                                                 
IL	17031050300	380031	14700	0.147	0.006	41.9578851	-87.6904442                                                                                                                                          
IL	17031050500	652578	0	0.252	0.	41.9504474	-87.6835073                                                                                                                                                 
IL	17031050600	332314	0	0.128	0.	41.9505477	-87.6761824                                                                                                                                                 
IL	17031050700	164326	0	0.063	0.	41.945071	-87.6760595                                                                                                                                                  
IL	17031050800	162818	0	0.063	0.	41.9450095	-87.6809279                                                                                                                                                 
IL	17031050900	162724	0	0.063	0.	41.9449466	-87.685778                                                                                                                                                  
IL	17031051000	166636	0	0.064	0.	41.9413024	-87.6857317                                                                                                                                                 
IL	17031051100	162702	0	0.063	0.	41.9413652	-87.6808266                                                                                                                                                 
