P1_001N,GEO_ID,state,county,tract,block group
798,1500000US170311201003,17,031,120100,3
1020,1500000US170311201004,17,031,120100,4
1768,1500000US170311202001,17,031,120200,1
1160,1500000US170311202004,17,031,120200,4
958,1500000US170311202002,17,031,120200,2
862,1500000US170311202003,17,031,120200,3
1379,1500000US170311203002,17,031,120300,2
953,1500000US170311203005,17,031,120300,5
1144,1500000US170311203001,17,031,120300,1
1514,1500000US170311203003,17,031,120300,3
939,1500000US170311203004,17,031,120300,4
991,1500000US170311203006,17,031,120300,6
1122,1500000US170311204002,17,031,120400,2
925,1500000US170311204001,17,031,120400,1
1479,1500000US170311204003,17,031,120400,3
1842,1500000US170311301002,17,031,130100,2
1261,1500000US170311301001,17,031,130100,1
2102,1500000US170311301003,17,031,130100,3
1403,1500000US170311302001,17,031,130200,1
692,1500000US170311303001,17,031,130300,1
1768,1500000US170311303003,17,031,130300,3
889,1500000US170311303002,17,031,130300,2
1734,1500000US170311303004,17,031,130300,4
1992,1500000US170311401002,17,031,140100,2
1472,1500000US170311401001,17,031,140100,1
2138,1500000US170311402003,17,031,140200,3
2189,1500000US170311402001,17,031,140200,1
1507,1500000US170311402002,17,031,140200,2
1497,1500000US170311403012,17,031,140301,2
1196,1500000US170311403011,17,031,140301,1
878,1500000US170311403021,17,031,140302,1
1536,1500000US170311403022,17,031,140302,2
1646,1500000US170311403023,17,031,140302,3
1375,1500000US170311404001,17,031,140400,1
1219,1500000US170311404004,17,031,140400,4
1042,1500000US170311404002,17,031,140400,2
1094,1500000US170311404003,17,031,140400,3
1773,1500000US170311404005,17,031,140400,5
1107,1500000US170311405001,17,031,140500,1
1030,1500000US170311405002,17,031,140500,2
1314,1500000US170311405003,17,031,140500,3
2545,1500000US170311406011,17,031,140601,1
925,1500000US170311406021,17,031,140602,1
1836,1500000US170311406022,17,031,140602,2
1403,1500000US170311406023,17,031,140602,3
877,1500000US170311406024,17,031,140602,4
1390,1500000US170311407011,17,031,140701,1
1394,1500000US170311407012,17,031,140701,2
1530,1500000US170311407021,17,031,140702,1
1415,1500000US170311407022,17,031,140702,2
1392,1500000US170311407023,17,031,140702,3
1198,1500000US170311407024,17,031,140702,4
2049,1500000US170311408005,17,031,140800,5
1023,1500000US170311408001,17,031,140800,1
833,1500000US170311408002,17,031,140800,2
1119,1500000US170311408003,17,031,140800,3
1462,1500000US170311408004,17,031,140800,4
1333,1500000US170311502003,17,031,150200,3
1180,1500000US170311502001,17,031,150200,1
1533,1500000US170311502002,17,031,150200,2
2042,1500000US170311502004,17,031,150200,4
1346,1500000US170311502005,17,031,150200,5
1019,1500000US170311503001,17,031,150300,1
1021,1500000US170311503004,17,031,150300,4
998,1500000US170311503006,17,031,150300,6
1236,1500000US170311503002,17,031,150300,2
842,1500000US170311503003,17,031,150300,3
751,1500000US170311503005,17,031,150300,5
1253,1500000US170311503007,17,031,150300,7
1277,1500000US170311504012,17,031,150401,2
1174,1500000US170311504011,17,031,150401,1
